country,gender,strongly disagree,strongly agree,disagree,agree
Kenya,female,-9.370988446726573,64.69833119383826,-7.830551989730424,18.10012836970475
Kenya,male,-21.31979695431472,46.5736040609137,-11.6751269035533,20.431472081218274
Lesotho,all,-31.628303495311165,63.00085251491902,-2.6427962489343564,2.7280477408354646
Lesotho,female,-21.62162162162162,73.1418918918919,-2.027027027027027,3.209459459459459
Lesotho,male,-41.82444061962134,52.667814113597245,-3.2702237521514634,2.2375215146299485
Liberia,all,-26.9907795473596,44.677284157585916,-12.657166806370496,15.67476948868399
Liberia,female,-21.79054054054054,48.817567567567565,-13.513513513513514,15.878378378378377
Liberia,male,-32.11314475873544,40.59900166389351,-11.813643926788686,15.474209650582363
Madagascar,all,-14.609571788413097,39.54659949622166,-19.395465994962215,26.448362720403022
Madagascar,female,-11.74496644295302,43.12080536912752,-19.463087248322147,25.671140939597315
Madagascar,male,-17.478991596638654,35.96638655462185,-19.327731092436977,27.22689075630252
Malawi,all,-20.606060606060606,61.125541125541126,-5.627705627705628,12.640692640692642
Malawi,female,-19.930675909878683,62.738301559792035,-5.37261698440208,11.95840554592721
Malawi,male,-21.280276816608996,59.515570934256054,-5.88235294117647,13.321799307958477
Mali,all,-24.93438320209974,52.58092738407699,-10.586176727909011,11.89851268591426
Mali,female,-19.649122807017545,57.719298245614034,-10.0,12.631578947368421
Mali,male,-30.19197207678883,47.4694589877836,-11.169284467713787,11.169284467713787
Mauritius,all,-7.241379310344828,57.49999999999999,-7.758620689655173,27.500000000000004
Mauritius,female,-3.9451114922813035,66.38078902229846,-4.288164665523156,25.38593481989708
Mauritius,male,-10.571923743500866,48.52686308492201,-11.265164644714037,29.636048526863085
Morocco,all,-16.389132340052587,36.72217353198948,-16.739702015775634,30.14899211218229
Morocco,female,-10.758377425044092,47.266313932980594,-11.992945326278658,29.98236331569665
Morocco,male,-21.951219512195124,26.306620209059233,-21.428571428571427,30.313588850174217
Mozambique,all,-17.590149516270888,44.67897977132806,-13.984168865435356,23.7467018469657
Mozambique,female,-11.466666666666667,51.288888888888884,-12.355555555555556,24.88888888888889
Mozambique,male,-23.585726718885986,38.207136640557,-15.578764142732812,22.628372497824195
Namibia,all,-19.185059422750424,43.887945670628184,-11.799660441426147,25.127334465195243
Namibia,female,-13.60544217687075,49.82993197278912,-10.374149659863946,26.190476190476193
Namibia,male,-24.74576271186441,37.96610169491525,-13.220338983050848,24.06779661016949
Niger,all,-35.70829840737636,34.702430846605196,-9.72338642078793,19.865884325230514
Niger,female,-30.485762144053602,38.52596314907873,-9.380234505862646,21.608040201005025
Niger,male,-40.939597315436245,30.87248322147651,-10.06711409395973,18.120805369127517
Nigeria,all,-34.532828282828284,42.42424242424242,-10.416666666666668,12.626262626262626
Nigeria,female,-21.085858585858585,55.3030303030303,-10.606060606060606,13.005050505050505
Nigeria,male,-47.97979797979798,29.545454545454547,-10.227272727272728,12.247474747474747
Senegal,all,-12.787723785166241,63.42710997442455,-7.331628303495311,16.453537936913897
Senegal,female,-7.2758037225042305,71.2351945854484,-4.230118443316413,17.258883248730964
Senegal,male,-18.384879725085913,55.49828178694158,-10.481099656357388,15.63573883161512
Sierra Leone,all,-17.64192139737991,50.21834061135371,-12.401746724890831,19.737991266375545
Sierra Leone,female,-15.881326352530541,52.18150087260035,-12.56544502617801,19.3717277486911
Sierra Leone,male,-19.405594405594407,48.25174825174825,-12.237762237762238,20.104895104895103
South Africa,all,-12.528089887640451,64.9438202247191,-7.191011235955057,15.337078651685394
South Africa,female,-9.821428571428571,70.42410714285714,-5.357142857142857,14.397321428571427
South Africa,male,-15.271493212669684,59.38914027149321,-9.049773755656108,16.289592760180994
Sudan,all,-32.48730964467005,31.810490693739425,-18.527918781725887,17.174280879864636
Sudan,female,-21.548821548821547,44.44444444444444,-17.67676767676768,16.329966329966332
Sudan,male,-43.53741496598639,19.047619047619047,-19.387755102040817,18.027210884353742
São Tomé and Príncipe,all,-16.051502145922747,53.21888412017167,-10.90128755364807,19.82832618025751
São Tomé and Príncipe,female,-11.945392491467576,58.53242320819113,-10.06825938566553,19.453924914675767
São Tomé and Príncipe,male,-20.207253886010363,47.84110535405872,-11.744386873920552,20.207253886010363
Tanzania,all,-18.831441782261454,63.514081546868425,-5.3804119377889865,12.274064733081126
Tanzania,female,-13.182199832073888,70.7808564231738,-4.030226700251889,12.00671704450042
Tanzania,male,-24.494949494949495,56.22895622895623,-6.7340067340067336,12.542087542087543
